,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Country","Data Source","Beverage Types","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Afghanistan","Data source","All types","0.03","0.03","0.03","0.03","0.02","0.02","0.01","0.01","0","0"
"Albania","Data source","All types","6.04","5.82","5.76","5.46","5.30","4.67","4.43","4.01","4.71","3.98"
"Algeria","Data source","All types","0.48","0.43","0.39","0.43","0.55","0.52","0.39","0.43","0.27","0.32"
"Andorra","Data source","All types","10.80","10.97","11.53","12.03","11.96","10.80","10.97","11.53","12.03","11.96"
"Angola","Data source","All types","6.89","6.90","6.22","5.44","4.68","3.39","2.88","2.62","2.45","1.77"
"Antigua and Barbuda","Data source","All types","7.90","8.24","8.19","8.34","8.81","7.27","7.11","7.14","7.43","7.46"
"Argentina","Data source","All types","8.33","8.41","8.16","7.75","7.53","7.63","7.62","7.81","7.76","7.68"
"Armenia","Data source","All types","3.97","3.96","4.00","4.01","4.25","3.81","3.03","2.93","2.96","2.98"
"Australia","Data source","All types","10.62","10.76","10.56","10.31","10.30","9.84","9.97","9.84","9.53","10.17"
"Austria","Data source","All types","11.30","12.00","12.50","12.40","12.40","12.10","12.20","12.50","12.40","13.20"
"Azerbaijan","Data source","All types","1.90","1.15","0.98","0.87","0.74","4.39","4.26","4.68","5.70","6.77"
"Bahamas","Data source","All types","8.63","9.53","10.02","10.29","10.64","9.98","10.68","10.83","11.62","12.19"
"Bahrain","Data source","All types","2.10","2.16","2.16","2.20","2.15","2.15","2.14","1.96","1.93","2.15"
"Bangladesh","Data source","All types","0.01","0.01","0","0","0","0","0","0","0","0.01"
"Barbados","Data source","All types","8.55","8.83","8.43","8.60","8.17","7.67","7.61","7.53","7.32","7.24"
"Belarus","Data source","All types","13.97","14.54","13.86","12.53","11.05","12.08","11.17","12.23","10.74","12.92"
"Belgium","Data source","All types","10.10","10.51","13.43","10.94","12.21","12.06","11.31","11.33","11.05","11.25"
"Belize","Data source","All types","6.45","6.86","6.93","6.22","6.06","6.04","5.53","4.87","4.77","4.67"
"Benin","Data source","All types","1.21","1.34","1.20","1.26","1.22","1.23","1.44","1.33","1.38","1.43"
"Bhutan","Data source","All types","0.22","0.30","0.20","0.33","1.10","0.96","0.52","0.29","1.42","1.66"
"Bolivia (Plurinational State of)","Data source","All types","3.83","3.75","3.47","3.22","2.85","2.65","2.36","2.28","2.23","2.34"
"Bosnia and Herzegovina","Data source","All types","4.71","5.09","5.11","4.78","4.53","4.22","4.12","3.89","3.95","3.69"
"Botswana","Data source","All types","5.30","7.46","6.84","7.13","6.15","4.67","5.38","6.16","5.12","4.95"
"Brazil","Data source","All types","7.21","7.09","7.08","7.00","6.85","6.77","6.88","7.07","7.22","7.35"
"Brunei Darussalam","Data source","All types","0.25","0.66","0.84","0.66","0.16","0.11","0.12","0.13","0.47","0.37"
"Bulgaria","Data source","All types","10.96","11.01","10.92","10.42","10.53","10.97","11.19","10.61","11.21","10.08"
"Burkina Faso","Data source","All types","4.57","4.47","4.58","4.72","4.91","4.55","4.60","4.52","4.55","3.74"
"Burundi","Data source","All types","4.05","4.33","4.54","4.50","5.54","5.81","5.94","6.08","6.19","6.72"
